comment,commentNUM,name,rate
始于荒诞，止于更荒诞。,146619人评价,荒蛮故事,8.8
偷情本没有这样美。,256374人评价,花样年华,8.5
有一些东西不应该被遗忘。,97873人评价,二十二,8.8
爱并不需要智商 。,108012人评价,我是山姆,8.8
华太师是黄霑，吴镇宇四大才子之一。,342677人评价,唐伯虎点秋香,8.4
Balalala~~~,384666人评价,超能陆战队,8.6
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,209276人评价,时空恋旅人,8.6
对爱的执着，可以超越一切。,195586人评价,人工智能,8.6
诺兰就是保证。,304525人评价,蝙蝠侠：黑暗骑士崛起,8.6
世界离独裁只有五天。,136748人评价,浪潮,8.7
松鼠才是角儿。,280919人评价,冰川时代,8.4
一个单凭体香达到高潮的男人。,284776人评价,香水,8.4
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,169345人评价,心迷宫,8.6
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,285124人评价,朗读者,8.5
人生的N种可能性。,129328人评价,罗生门,8.7
诺兰的牛逼来源于内心散发出的恐惧。,84368人评价,追随,8.9
只有有信仰的人才能说出事实真相。,136508人评价,一次别离,8.7
天使与魔鬼的冲撞。,178681人评价,撞车,8.6
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,246019人评价,爆裂鼓手,8.6
好的剧本是，就算你猜到了结局也猜不到全部。,101679人评价,未麻的部屋,8.8
坚硬的信仰。,133057人评价,可可西里,8.7
做一颗让别人需要你的棋子。,179555人评价,战争之王,8.5
天使保护事件始末。,87936人评价,地球上的星星,8.8
不要企图在重复中寻找已经失去的爱。,335865人评价,恐怖游轮,8.3
一场没有春天的噩梦。,114723人评价,梦之安魂曲,8.7
Jared Leto的腿比女人还美！,173552人评价,达拉斯买家俱乐部,8.6
热血沸腾，那个低俗、性感的无耻混蛋又来了。,266540人评价,被解救的姜戈,8.5
王家卫是一种风格，张国荣是一个代表。,187932人评价,阿飞正传,8.5
弱者送给弱者的一刀。,110101人评价,牯岭街少年杀人事件,8.7
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,197141人评价,谍影重重,8.5
谁说王家卫镜头很晃？,163736人评价,谍影重重2,8.5
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,109592人评价,碧海蓝天,8.7
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,200570人评价,魔女宅急便,8.5
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,325153人评价,血战钢锯岭,8.7
故事的反转与反转，分裂电影的始祖。,85455人评价,惊魂记,8.9
养狗三日，便会对你终其一生。,61746人评价,忠犬八公物语,9.0
青春就是放弃和怀念。,306534人评价,秒速5厘米,8.3
爱我就给我看你的播放列表。,175043人评价,再次出发之纽约遇见你,8.5
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,227372人评价,青蛇,8.4
愿我们都不用长大，每一座城堡都能永远存在。,234254人评价,头脑特工队,8.7
